run,type,module,name,attrname,attrvalue,value
Base_Ami-0-20200131-18:48:50-7909,runattr,,,configname,Base_Ami,
Base_Ami-0-20200131-18:48:50-7909,runattr,,,datetime,20200131-18:48:50,
Base_Ami-0-20200131-18:48:50-7909,runattr,,,experiment,Base_Ami,
Base_Ami-0-20200131-18:48:50-7909,runattr,,,inifile,omnetpp.ini,
Base_Ami-0-20200131-18:48:50-7909,runattr,,,iterationvars,"$numUEs=1, $numAmis=1, $directions=2",
Base_Ami-0-20200131-18:48:50-7909,runattr,,,iterationvarsf,"numUEs=1,numAmis=1,directions=2-",
Base_Ami-0-20200131-18:48:50-7909,runattr,,,measurement,"$numUEs=1, $numAmis=1, $directions=2",
Base_Ami-0-20200131-18:48:50-7909,runattr,,,network,redLTE,
Base_Ami-0-20200131-18:48:50-7909,runattr,,,processid,7909,
Base_Ami-0-20200131-18:48:50-7909,runattr,,,repetition,0,
Base_Ami-0-20200131-18:48:50-7909,runattr,,,replication,#0,
Base_Ami-0-20200131-18:48:50-7909,runattr,,,resultdir,results,
Base_Ami-0-20200131-18:48:50-7909,runattr,,,runnumber,0,
Base_Ami-0-20200131-18:48:50-7909,runattr,,,seedset,0,
Base_Ami-0-20200131-18:48:50-7909,itervar,,,directions,2,
Base_Ami-0-20200131-18:48:50-7909,itervar,,,numAmis,1,
Base_Ami-0-20200131-18:48:50-7909,itervar,,,numUEs,1,
Base_Ami-0-20200131-18:48:50-7909,param,,,**.numUe,1,
Base_Ami-0-20200131-18:48:50-7909,param,,,**.numAmi,1,
Base_Ami-0-20200131-18:48:50-7909,param,,,**.mac.schedulingDisciplineDl,"""MAXCI""",
Base_Ami-0-20200131-18:48:50-7909,param,,,**.mac.schedulingDisciplineUl,"""MAXCI""",
Base_Ami-0-20200131-18:48:50-7909,param,,,**.ue[0].macCellId,1,
Base_Ami-0-20200131-18:48:50-7909,param,,,**.ue[0].masterId,1,
Base_Ami-0-20200131-18:48:50-7909,param,,,**.ami[0].macCellId,1,
Base_Ami-0-20200131-18:48:50-7909,param,,,**.ami[0].masterId,1,
Base_Ami-0-20200131-18:48:50-7909,param,,,*.ami[0].mobility.initFromDisplayString,false,
Base_Ami-0-20200131-18:48:50-7909,param,,,*.ami[0].mobility.initialX,300m,
Base_Ami-0-20200131-18:48:50-7909,param,,,*.ami[0].mobility.initialY,250m,
Base_Ami-0-20200131-18:48:50-7909,param,,,*.ami[0].mobility.initialZ,0m,
Base_Ami-0-20200131-18:48:50-7909,param,,,*.ami[0].mobilityType,"""StationaryMobility""",
Base_Ami-0-20200131-18:48:50-7909,param,,,*.ue[0].mobility.constraintAreaMinX,100m,
Base_Ami-0-20200131-18:48:50-7909,param,,,*.ue[0].mobility.constraintAreaMinY,200m,
Base_Ami-0-20200131-18:48:50-7909,param,,,*.ue[0].mobility.constraintAreaMaxX,600m,
Base_Ami-0-20200131-18:48:50-7909,param,,,*.ue[0].mobility.constraintAreaMaxY,400m,
Base_Ami-0-20200131-18:48:50-7909,param,,,**.updateInterval,1s,
Base_Ami-0-20200131-18:48:50-7909,param,,,**.ue[*].mobilityType,"""GaussMarkovMobility""",
Base_Ami-0-20200131-18:48:50-7909,param,,,**.ue[*].mobility.alpha,0.9,
Base_Ami-0-20200131-18:48:50-7909,param,,,**.ue[*].mobility.speed,1mps,
Base_Ami-0-20200131-18:48:50-7909,param,,,**.ue[*].mobility.angle,0deg,
Base_Ami-0-20200131-18:48:50-7909,param,,,**.ue[*].mobility.variance,40,
Base_Ami-0-20200131-18:48:50-7909,param,,,**.ue[*].mobility.margin,30m,
Base_Ami-0-20200131-18:48:50-7909,param,,,*.ami[*].numUdpApps,1,
Base_Ami-0-20200131-18:48:50-7909,param,,,*.serverAMI.numUdpApps,1,
Base_Ami-0-20200131-18:48:50-7909,param,,,*.ue[*].numUdpApps,2,
Base_Ami-0-20200131-18:48:50-7909,param,,,*.server.numUdpApps,2 * 1,
Base_Ami-0-20200131-18:48:50-7909,param,,,**.serverAMI.udpApp[*].typename,"""UDPSink""",
Base_Ami-0-20200131-18:48:50-7909,param,,,**.serverAMI.udpApp[*].localPort,2000+ancestorIndex(0),
Base_Ami-0-20200131-18:48:50-7909,param,,,**.serverAMI.udpApp[*].serverAddress,"""ami[""+string(ancestorIndex(0))+""]""",
Base_Ami-0-20200131-18:48:50-7909,param,,,**.ami[*].udpApp[0].destAddresses,"""serverAMI""",
